Arousal,Compound,Dominance,Flair,POS nlkt,POS spcy,POS stza,Stanza,Subjectivity,Valence,category,word
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,karunia
0.55,0.0,0.74,POSITIVE,VERB,VERB,VERB,1.0,0.0,0.89,confident,given
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,untuk
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.17,0.89,confident,female
0.55,0.0,0.74,NEGATIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,issue
0.55,0.0,0.74,POSITIVE,NOUN,VERB,VERB,1.0,0.0,0.89,confident,relate
0.55,0.0,0.74,POSITIVE,VERB,VERB,VERB,1.0,0.0,0.89,confident,known
0.55,0.44,0.74,POSITIVE,NOUN,PROPN,ADJ,2.0,0.9,0.89,confident,classy
0.55,0.0,0.74,POSITIVE,ADJ,ADJ,ADJ,1.0,0.4,0.89,confident,individual
0.55,0.0,0.74,POSITIVE,NOUN,X,PROPN,1.0,0.0,0.89,confident,loveher
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,priorities
0.55,0.6,0.74,POSITIVE,NOUN,ADJ,ADJ,2.0,1.0,0.89,confident,beautiful
0.55,-0.34,0.74,NEGATIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,obsession
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,PROPN,1.0,0.0,0.89,confident,garansi
0.55,0.4,0.74,POSITIVE,NOUN,NOUN,VERB,2.0,0.0,0.89,confident,treat
0.55,0.36,0.74,NEGATIVE,VERB,VERB,NOUN,1.0,0.0,0.89,confident,praying
0.55,0.44,0.74,POSITIVE,ADV,ADV,ADV,2.0,1.0,0.89,confident,nicely
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,usher
0.55,-0.54,0.74,NEGATIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,enemy
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,reasons
0.55,0.56,0.74,POSITIVE,NOUN,NOUN,NOUN,2.0,0.0,0.89,confident,praise
0.55,0.0,0.74,POSITIVE,NOUN,VERB,VERB,1.0,0.0,0.89,confident,tend
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,hoe
0.55,-0.18,0.74,NEGATIVE,NOUN,VERB,VERB,1.0,0.0,0.89,confident,hide
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,veracity
0.55,0.0,0.74,POSITIVE,ADJ,PROPN,ADJ,1.0,0.0,0.89,confident,utopian
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,NOUN,0.0,0.0,0.89,confident,disease
0.55,0.0,0.74,POSITIVE,VERB,VERB,VERB,1.0,0.1,0.89,confident,following rt
0.55,0.3,0.74,POSITIVE,NOUN,NOUN,NOUN,2.0,0.0,0.89,confident,treasure
0.55,0.13,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,treasurer
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,INTJ,1.0,0.0,0.89,confident,coz
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,INTJ,1.0,0.0,0.89,confident,hv
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,PROPN,1.0,0.0,0.89,confident,ad
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,responsibility
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,murah
0.55,0.0,0.74,POSITIVE,ADJ,ADJ,ADJ,1.0,0.25,0.89,confident,usual
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,views
0.55,0.0,0.74,POSITIVE,VERB,VERB,VERB,1.0,0.0,0.89,confident,let
